No,用法,変換,常体活用型,常体基本形,常体,常体語尾,常体活用形,常体ルール,敬体活用型,敬体基本形,敬体,敬体語尾,敬体活用形,敬体ルール
1,03_受け身可能自発尊敬1,,五段・ワ行促音便,笑う,笑われる,れる,未然形,::動詞:未然形 + :レル,五段・ワ行促音便,笑う,笑われます,れます,未然形,::動詞:未然形 + :レ + :マス
2,03_受け身可能自発尊敬2,,五段・ワ行促音便,笑う,笑われた,れた,未然形,::動詞:未然形 + :レ + :タ,五段・ワ行促音便,笑う,笑われました,れました,未然形,::動詞:未然形 + :レ + :マシ + :タ
3,04_使役1,,五段・ワ行促音便,笑う,笑わせる,,基本形,::動詞:基本形,一段,笑わせる,笑わせます,ます,連用形,::動詞:連用形 + :マス
4,04_使役2,,一段,笑わせる,笑わせた,た,連用形,::動詞:連用形 + :タ,一段,笑わせる,笑わせました,ました,連用形,::動詞:連用形 + :マシ + :タ
5,04_使役3,,一段,笑わせる,笑わせやがって,やがって,連用形,::動詞:連用形 + :ヤ + :ガッ + :テ,一段,笑わせる,笑わせやがりまして,やがりまして,連用形,::動詞:連用形 + :ヤ + :ガリ + :マシ + :テ
6,05_打ち消し1,,五段・ワ行促音便,笑う,笑わない,ない,未然形,::動詞:未然形 + :ナイ,五段・ワ行促音便,笑う,笑いません,ません,連用形,::動詞:連用形 + :マセ + :ン
7,05_打ち消し2,,五段・ワ行促音便,笑う,笑わなかった,なかった,未然形,::動詞:未然形 + :ナカッ + :タ,五段・ワ行促音便,笑う,笑いませんでした,ませんでした,連用形,::動詞:連用形 + :マセ + :ン + :デシ + :タ
8,06_意思推量1,,五段・ワ行促音便,笑う,笑う,,基本形,::動詞:基本形,五段・ワ行促音便,笑う,笑います,ます,連用形,::動詞:連用形 + :マス
9,06_意思推量2,,五段・ワ行促音便,笑う,笑おう,う,未然ウ接続,::動詞:未然ウ接続 + :ウ,五段・ワ行促音便,笑う,笑いましょう,ましょう,連用形,::動詞:連用形 + :マショ+ :ウ
10,08_希望1,,五段・ワ行促音便,笑う,笑いたい,たい,連用形,::動詞:連用形 + :タイ,五段・ワ行促音便,笑う,笑いたいです,たいです,連用形,::動詞:連用形 + :タイ + :デス
11,08_希望2,,五段・ワ行促音便,笑う,笑いたかった,たかった,連用形,::動詞:連用形 + :タカッ + :タ,五段・ワ行促音便,笑う,笑いたかったです,たかったです,連用形,::動詞:連用形 + :タカッ + :タ + :デス
12,08_希望3,,五段・ワ行促音便,笑う,笑いたがる,たがる,連用形,::動詞:連用形 + :タ + :ガル,五段・ワ行促音便,笑う,笑いたがります,たがります,連用形,::動詞:連用形 + :タ + :ガリ + :マス
13,08_希望4,,五段・ワ行促音便,笑う,笑いたがった,たがった,連用形,::動詞:連用形 + :タ + :ガッ + :タ,五段・ワ行促音便,笑う,笑いたがりました,たがりました,連用形,::動詞:連用形 + :タ + :ガリ + :マシ + :タ
14,10_完了,,五段・ワ行促音便,笑う,笑った,た,連用タ接続,::動詞:連用タ接続 + :タ,五段・ワ行促音便,笑う,笑いました,ました,連用形,::動詞:連用形 + :マシ + :タ
15,13_推定1,,五段・ワ行促音便,笑う,笑うらしい,らしい,基本形,::動詞:基本形 + :ラシイ,五段・ワ行促音便,笑う,笑うらしいです,らしいです,基本形,::動詞:基本形 + :ラシイ + :デス
16,13_推定2,,五段・ワ行促音便,笑う,笑うらしかった,らしかった,基本形,::動詞:基本形 + :ラシカッ + :タ,五段・ワ行促音便,笑う,笑うらしかったです,らしかったです,基本形,::動詞:基本形 + :ラシカッ + :タ + :デス
17,14_断定1,,,笑い,笑いだ,だ,,::名詞 + :ダ,,笑い,笑いです,です,,::名詞 + :デス
18,14_断定2,,,笑い,笑いだった,だった,,::名詞 + :ダッ + :タ,,笑い,笑いでした,でした,,::名詞 + :デシ + :タ
19,14_断定3,,,笑い,笑いである,である,,::名詞 + :デ + :アル,,笑い,笑いです,です,,::名詞 + :デス
20,14_断定4,,,笑い,笑いであった,であった,,::名詞 + :デ + :アッ + :タ,,笑い,笑いでした,でした,,::名詞 + :デシ + :タ
21,可能1,,一段,笑える,笑える,,基本形,::動詞:基本形,一段,笑える,笑えます,ます,連用形,::動詞:連用形 + :マス
22,可能2,,一段,笑える,笑えた,た,連用形,::動詞:連用形 + :タ,一段,笑える,笑えました,ました,連用形,::動詞:連用形 + :マシ + :タ
23,命令1,,一段,笑える,笑え,,連用形,::動詞:連用形,五段・ワ行促音便,笑う,笑いなさい,なさい,連用形,::動詞:連用形 + :ナサイ
24,命令2,,五段・ワ行促音便,笑う,笑えよ,,命令ｅ,::動詞:命令ｅ + :ヨ,五段・ワ行促音便,笑う,笑いなさいよ,なさいよ,連用形,::動詞:連用形 + :ナサイ + :ヨ
25,命令3,,五段・ワ行促音便,笑う,笑え！,,連用形,::動詞:命令ｅ,五段・ワ行促音便,笑う,笑いなさい！,なさい,連用形,::動詞:連用形 + :ナサイ
26,命令4,,五段・ワ行促音便,笑う,笑え。,,連用形,::動詞:命令ｅ ,五段・ワ行促音便,笑う,笑いなさい。,なさい,連用形,::動詞:連用形 + :ナサイ
