No,用法,変換,常体活用型,常体基本形,常体,常体語尾,常体活用形,常体ルール,敬体活用型,敬体基本形,敬体,敬体語尾,敬体活用形,敬体ルール
,03_受け身可能自発尊敬1,,,きれい,,,,,,,,,,
,03_受け身可能自発尊敬2,,,きれい,,,,,,,,,,
,04_使役1,,,きれい,,,,,,,,,,
,04_使役2,,,きれい,,,,,,,,,,
,04_使役3,,,きれい,,,,,,,,,,
,04_使役4,,,きれい,,,,,,,,,,
,05_打ち消し1,,,きれい,,,,,,,,,,
,05_打ち消し2,,,きれい,,,,,,,,,,
,06_意思推量1,,,きれい,,,,,,,,,,
,06_意思推量2,,,きれい,,,,,,,,,,
,08_希望1,,,きれい,,,,,,,,,,
,08_希望2,,,きれい,,,,,,,,,,
,08_希望3,,,きれい,,,,,,,,,,
,08_希望4,,,きれい,,,,,,,,,,
,10_完了,,,きれい,,,,,,,,,,
,13_推定1,,,きれい,,,,,,,,,,
,13_推定2,,,きれい,,,,,,,,,,
,14_断定1,,,きれい,,,,,,,,,,
,14_断定2,,,きれい,,,,,,,,,,
,14_断定3,,,きれい,,,,,,,,,,
,14_断定4,,,きれい,,,,,,,,,,
,可能1,,,きれい,,,,,,,,,,
,可能2,,,きれい,,,,,,,,,,
,命令1,,,きれい,,,,,,,,,,
,命令2,,,きれい,,,,,,,,,,
,命令3,,,きれい,,,,,,,,,,
,命令4,,,きれい,,,,,,,,,,
