前駆品詞	品詞・活用	代表用例	ですます調	ですます調・変化部＋助動詞	だである調	だである調・変化部＋助動詞	引用元	メモ
		お書きになる	お書きになります	なります		なる	<1>p.146	
		お受けになる	お受けになります	なります		なる	<1>p.146	
		お訪ねになる	お訪ねになります	なります		なる	<1>p.146	
		ご覧になる	ご覧にになります	なります		なる	<1>p.146	
		お休みになる	お休みになります	なります		なる	<1>p.146	
		なさる	なさいます	います		る	<1>p.146	「なさります」は古い表現？
		おっしゃる	おっしゃいます	います		る	<1>p.146	
		いらっしゃる	いらっしゃいます	います		る	<1>p.146	
		いらっしゃった	いらっしゃいました	いました		った		
		召し上がる	召し上がります	ります		る	<1>p.146	
		申し上げる	申し上げます	ます		る	<1>p.146	
		書かれる	書かれます	ます		る	<1>p.146	
		受けられる	受けられます	ます		る	<1>p.146	
		お書きする	お書きします	します		する	<1>p.146	
		お受けする	お受けします	します		する	<1>p.146	
		拝見する	拝見します	します		する	<1>p.146	
		いたす	いたします	します		する	<1>p.148	
		参る	参ります	ります		る	<1>p.148	
		おる	おります	ります		る	<1>p.148	
		伺う	伺います	います		う	<1>p.146	
		いただく	いただきます	きます		く	<1>p.146	
		伺った	伺いました	いました		った		
		申す	申します	します		す	<1>p.148	
		ございます		います	ござる	る		
形容詞		多くいます		くいます	多い	い	<1>p.149	夏休みで人が多いです／人が多い
形容詞		つらいです		いです	つらい	い	<1>p.149	
		おわかりにならない	おわかりになりません	りません		らない	<1>p.147	先生にはおわかりにならない
		お帰りになる	お帰りになります	ります		る	<1>p.147	社長がお帰りになる
		お渡しした	お渡ししました	ました		た	<1>p.147	
		お見かけする	お見かけします	します		する	<1>p.147	
		お帰りだ	お帰りです	です		だ	<1>p.147	「お帰りである」も可能。
		亡くなる	亡くなります	ります		る	<1>p.150	
		亡くなった	亡くなりました	りました		った	<1>p.150	
		亡くなられる	亡くなられます	ます		る	<1>p.150	
動詞	五段動詞	書かない	書きません	きません		かない		
動詞	五段動詞	書きます	書きます	きます	書く	く		
動詞	五段動詞	書く	書きます	きます	書く	く		
動詞	五段動詞	書けば						
動詞	五段動詞	書け						
動詞	五段動詞	書こう	書きましょう	きましょう		こう		
		含まれている	含まれています	ます		る		
名詞		言葉です		です	言葉だ	だ		
名詞		ことです		です	ことだ・ことである	だ・である		「名詞＋です」からは「だ・である」両方への変換が可能。
名詞		ことだ	ことです	です		だ		
名詞		ことである	ことです	です		である		
		なかったそうです		です	なかったそうだ・である	だ・である	<1>p.5	
動詞		できる	できます	ます		る	<1>p.7	
		ある	あります	ります		る	<1>p.6	
		い（居る）る	います	ます		る	<1>p.6	
		ちがう	ちがいます	います		う	<1>p.6	
		い（要）る	いります	ります		る	<1>p.6	
		ちがわない	ちがいません	いません		わない		
		ちがいません		いません	ちがわない	わない		
形容詞		かわいい	かわいいです	です		NONE		
形容詞		かわいいです		です		NONE		
形容動詞		元気だ	元気です	です		だ		
形容動詞		元気です		です	元気だ・である	だ・である		
