"品詞細分類1","品詞細分類2","品詞細分類3","活用型","原形","読み","基本形","未然形","未然ウ接続","連用形","仮定形","命令ｅ","命令ｉ","体言接続","音便基本形","文語基本形","未然ヌ接続","連用タ接続","連用テ接続","連用ゴザイ接続","仮定縮約１","仮定縮約２","ガル接続","未然特殊","連用ニ接続","命令ｙｏ","連用デ接続","体言接続特殊"
"*","*","*","不変化型","じゃん","ジャン","じゃん","","","","","","","","","","","","","","","","","","","","",""
"*","*","*","特殊・マス","やす","ヤス,ヤセ,ヤショ,ヤシ,ヤスレ,ヤセ,ヤシ","やす","やせ","やしょ","やし","やすれ","やせ","やし","","","","","","","","","","","","","","",""
"*","*","*","不変化型","ぬ","ヌ","ぬ","","","","","","","","","","","","","","","","","","","","",""
"*","*","*","特殊・ヌ","ぬ","ヌ,ズ,ザリ,ズ,ザル,ネ,ザレ,ズン","ぬ","","","ざり","ずん","","","ざる","","ず","","","","","","","","","ず","","",""
"*","*","*","不変化型","ん","ン","ん","","","","","","","","","","","","","","","","","","","","",""
"*","*","*","不変化型","まい","マイ","まい","","","","","","","","","","","","","","","","","","","","",""
"*","*","*","特殊・デス","っす","ッス,ッショ,ッシ","っす","っしょ","","っし","","","","","","","","","","","","","","","","","",""
"*","*","*","特殊・ジャ","じゃ","ジャ,ジャロ,ジャッ","じゃ","じゃろ","","じゃっ","","","","","","","","","","","","","","","","","",""
"*","*","*","文語・ベシ","べし","ベシ,ベカラ,ベク,ベキ,ベケレ","べし","べから","","べく","べけれ","","","べき","","","","","","","","","","","","","",""
"*","*","*","不変化型","やん","ヤン","やん","","","","","","","","","","","","","","","","","","","","",""
"*","*","*","文語・マジ","まじ","マジ,マジク,マジキ,マジケレ","まじ","","","まじく","まじけれ","","","まじき","","","","","","","","","","","","","",""
"*","*","*","特殊・タ","だ","ダ,ダロ,ダラ","だ","だろ","","","だら","","","","","","","","","","","","","","","","",""
"*","*","*","特殊・ダ","だ","ダ,ダロ,ダラ,デ,ダッ,ナ,ナラ,ナレ","だ","だら","","で","なら","なれ","","な","","","","だっ","","","","","","","","","",""
"*","*","*","特殊・タイ","たい","タイ,テエ,テェ,タシ,タカラ,タカロ,タカッ,タカツ,タク,タクッ,トウ,タキ,タケレ,タケリャ,タキャ,タ","たい","","たかろ","","たけれ","","","たき","てぇ","たし","たから","たかつ","たくっ","とう","たけりゃ","たきゃ","た","","","","",""
"*","*","*","不変化型","へん","ヘン","へん","","","","","","","","","","","","","","","","","","","","",""
"*","*","*","五段・ラ行特殊","御座る","ゴザル,ゴザラ,ゴザン,ゴザロ,ゴザイ,ゴザッ,ゴザレ,ゴザレ,ゴザイ,ゴザリャ","御座る","御座ら","御座ろ","御座い","御座れ","御座れ","御座い","","","","","御座っ","","","御座りゃ","","","御座ん","","","",""
"*","*","*","文語・キ","き","キ,シ,シカ","き","","","","","しか","","し","","","","","","","","","","","","","",""
"*","*","*","文語・ナリ","なり","ナリ,ナラ,ナル,ナレ,ナレ","なり","なら","","","なれ","なれ","","なる","","","","","","","","","","","","","",""
"*","*","*","形容詞・イ段","無い","ナイ,ナ,ナカラ,ナカロ,ナカッ,ナク,ナクッ,ナュウ,ナュゥ,ナキ,ナケレ,ナカレ,ナケリャ,ナキャ,ナ","無い","","無かろ","","無けれ","無かれ","","無き","","無","無から","無かっ","無くっ","無ゅぅ","無けりゃ","無きゃ","無","","","","",""
"*","*","*","特殊・ヤ","や","ヤ,ヤロ,ヤッ","や","やろ","","やっ","","","","","","","","","","","","","","","","","",""
"*","*","*","文語・ル","る","ル,レ,レ,ルル,ルレ,ルレ,レヨ","る","れ","","れ","るれ","るれ","","るる","","","","","","","","","","","","れよ","",""
"*","*","*","特殊・タ","た","タ,タロ,タラ","た","たろ","","","たら","","","","","","","","","","","","","","","","",""
"*","*","*","不変化型","じ","ジ","じ","","","","","","","","","","","","","","","","","","","","",""
"*","*","*","特殊・ナイ","ない","ナイ,ネエ,ネェ,ナシ,ナカラ,ナカロ,ナカッ,ナカツ,ナク,ナクッ,ナイ,ノウ,ナキ,ナケレ,ナカレ,ナケリャ,ナキャ,ナ","ない","","なかろ","","なけれ","なかれ","","なき","ねぇ","なし","なから","なかつ","なくっ","のう","なけりゃ","なきゃ","な","","","","ない",""
"*","*","*","不変化型","う","ウ","う","","","","","","","","","","","","","","","","","","","","",""
"*","*","*","文語・リ","り","リ,ル","り","","","","","","","る","","","","","","","","","","","","","",""
"*","*","*","特殊・デス","です","デス,デショ,デシ","です","でしょ","","でし","","","","","","","","","","","","","","","","","",""
"*","*","*","五段・ラ行特殊","ござる","ゴザル,ゴザラ,ゴザン,ゴザロ,ゴザイ,ゴザッ,ゴザレ,ゴザレ,ゴザイ,ゴザリャ","ござる","ござら","ござろ","ござい","ござれ","ござれ","ござい","","","","","ござっ","","","ござりゃ","","","ござん","","","",""
"*","*","*","下二・タ行","つ","ツ,テ,テ,ツル,ツレ,テヨ","つ","て","","て","つれ","","","つる","","","","","","","","","","","","てよ","",""
"*","*","*","特殊・マス","ます","マス,マセ,マショ,マシ,マスレ,マセ,マシ","ます","ませ","ましょ","まし","ますれ","ませ","まし","","","","","","","","","","","","","","",""
"*","*","*","文語・ナリ","たり","タリ,タラ,タル,タレ,タレ","たり","たら","","","たれ","たれ","","たる","","","","","","","","","","","","","",""
"*","*","*","不変化型","じゃン","ジャン","じゃン","","","","","","","","","","","","","","","","","","","","",""
"*","*","*","文語・ゴトシ","如し","ゴトシ,ゴトク,ゴトキ","如し","","","如く","","","","如き","","","","","","","","","","","","","",""
"*","*","*","不変化型","ひん","ヒン","ひん","","","","","","","","","","","","","","","","","","","","",""
"*","*","*","特殊・デス","どす","ドス,ドショ,ドシ","どす","どしょ","","どし","","","","","","","","","","","","","","","","","",""
"*","*","*","形容詞・イ段","らしい","ラシイ,ラシ,ラシカラ,ラシカロ,ラシカッ,ラシク,ラシクッ,ラシュウ,ラシュゥ,ラシキ,ラシケレ,ラシカレ,ラシケリャ,ラシキャ,ラシ","らしい","","らしかろ","","らしけれ","らしかれ","","らしき","","らし","らしから","らしかっ","らしくっ","らしゅぅ","らしけりゃ","らしきゃ","らし","","","","",""
"*","*","*","五段・ラ行アル","ある","アル,アラ,アロ,アリ,アッ,アレ,アレ,アリャ,アン","ある","あら","あろ","あり","あれ","あれ","","","","","","あっ","","","ありゃ","","","","","","","あん"
"*","*","*","文語・ゴトシ","ごとし","ゴトシ,ゴトク,ゴトキ","ごとし","","","ごとく","","","","ごとき","","","","","","","","","","","","","",""
"*","*","*","文語・ケリ","けり","ケリ,ケル","けり","","","","","","","ける","","","","","","","","","","","","","",""
