"品詞細分類1","品詞細分類2","品詞細分類3","活用型","原形","読み","基本形","未然形","未然ウ接続","連用形","連用タ接続","仮定形","命令ｅ","仮定縮約１","未然特殊","体言接続特殊","体言接続特殊２","命令ｙｏ","命令ｒｏ","文語基本形","未然レル接続","命令ｉ","体言接続","未然ヌ接続","現代基本形"
"自立","*","*","五段・マ行","引き込む","ヒキコム,ヒキコマ,ヒキコモ,ヒキコミ,ヒキコン,ヒキコメ,ヒキコメ,ヒキコミャ","引き込む","引き込ま","引き込も","引き込み","引き込ん","引き込め","引き込め","引き込みゃ","","","","","","","","","","",""
"自立","*","*","五段・サ行","すきかえす","スキカエス,スキカエサ,スキカエソ,スキカエシ,スキカエセ,スキカエセ,スキカエシャ","すきかえす","すきかえさ","すきかえそ","すきかえし","","すきかえせ","すきかえせ","すきかえしゃ","","","","","","","","","","",""
"自立","*","*","五段・ラ行","看取る","ミトル,ミトラ,ミトン,ミトロ,ミトリ,ミトッ,ミトレ,ミトレ,ミトリャ,ミトン,ミト","看取る","看取ら","看取ろ","看取り","看取っ","看取れ","看取れ","看取りゃ","看取ん","看取ん","看取","","","","","","","",""
"自立","*","*","五段・マ行","睦む","ムツム,ムツマ,ムツモ,ムツミ,ムツン,ムツメ,ムツメ,ムツミャ","睦む","睦ま","睦も","睦み","睦ん","睦め","睦め","睦みゃ","","","","","","","","","","",""
"自立","*","*","五段・サ行","きこす","キコス,キコサ,キコソ,キコシ,キコセ,キコセ,キコシャ","きこす","きこさ","きこそ","きこし","","きこせ","きこせ","きこしゃ","","","","","","","","","","",""
"自立","*","*","一段","つける","ツケル,ツケ,ツケヨ,ツケ,ツケレ,ツケヨ,ツケロ,ツケリャ,ツケン","つける","つけ","つけよ","つけ","","つけれ","","つけりゃ","","つけん","","つけよ","つけろ","","","","","",""
"非自立","*","*","一段","つける","ツケル,ツケ,ツケヨ,ツケ,ツケレ,ツケヨ,ツケロ,ツケリャ,ツケン","つける","つけ","つけよ","つけ","","つけれ","","つけりゃ","","つけん","","つけよ","つけろ","","","","","",""
"自立","*","*","五段・ラ行","封切る","フウギル,フウギラ,フウギン,フウギロ,フウギリ,フウギッ,フウギレ,フウギレ,フウギリャ,フウギン,フウギ,フウキル,フウキラ,フウキン,フウキロ,フウキリ,フウキッ,フウキレ,フウキレ,フウキリャ,フウキン,フウキ","封切る","封切ら","封切ろ","封切り","封切っ","封切れ","封切れ","封切りゃ","封切ん","封切ん","封切","","","","","","","",""
"自立","*","*","五段・ワ行促音便","逃げまどう","ニゲマドウ,ニゲマドワ,ニゲマドオ,ニゲマドイ,ニゲマドッ,ニゲマドエ,ニゲマドエ","逃げまどう","逃げまどわ","逃げまどお","逃げまどい","逃げまどっ","逃げまどえ","逃げまどえ","","","","","","","","","","","",""
"自立","*","*","五段・サ行","さしだす","サシダス,サシダサ,サシダソ,サシダシ,サシダセ,サシダセ,サシダシャ","さしだす","さしださ","さしだそ","さしだし","","さしだせ","さしだせ","さしだしゃ","","","","","","","","","","",""
"自立","*","*","五段・ラ行","わりきる","ワリキル,ワリキラ,ワリキン,ワリキロ,ワリキリ,ワリキッ,ワリキレ,ワリキレ,ワリキリャ,ワリキン,ワリキ","わりきる","わりきら","わりきろ","わりきり","わりきっ","わりきれ","わりきれ","わりきりゃ","わりきん","わりきん","わりき","","","","","","","",""
"自立","*","*","一段","飛び抜ける","トビヌケル,トビヌケ,トビヌケヨ,トビヌケ,トビヌケレ,トビヌケヨ,トビヌケロ,トビヌケリャ,トビヌケン","飛び抜ける","飛び抜け","飛び抜けよ","飛び抜け","","飛び抜けれ","","飛び抜けりゃ","","飛び抜けん","","飛び抜けよ","飛び抜けろ","","","","","",""
"自立","*","*","一段","書き直せる","カキナオセル,カキナオセ,カキナオセヨ,カキナオセ,カキナオセレ,カキナオセヨ,カキナオセロ,カキナオセリャ,カキナオセン","書き直せる","書き直せ","書き直せよ","書き直せ","","書き直せれ","","書き直せりゃ","","書き直せん","","書き直せよ","書き直せろ","","","","","",""
