活用型,基本形,未然形,未然ウ接続,連用形,連用タ接続,仮定形,命令ｅ,仮定縮約１,未然特殊,体言接続特殊,体言接続特殊２,命令ｙｏ,命令ｒｏ,文語基本形,未然レル接続,命令ｉ,体言接続,未然ヌ接続,現代基本形
カ変・クル,xくる,xこ,xこよ,xき,,xくれ,,xくりゃ,,xくん,xく,xこよ,,,,xこい,,,
カ変・来ル,xる,x,xよ,x,,xれ,,xりゃ,,xん,x,xよ,,,,xい,,,
サ変・スル,xする,xし,xしょ,xし,,xすれ,,xすりゃ,,xすん,xす,xせよ,xしろ,xす,xさ,xせい,,xせ,
サ変・－スル,xする,xし,xしょ,,,xすれ,,xすりゃ,,,,xせよ,xしろ,xす,xせ,,,,
サ変・－ズル,xずる,xぜ,xぜよ,,,xずれ,,xずりゃ,,,,xぜよ,,xず,,,,,
ラ変,xり,xら,,xり,,xれ,xれ,,,,,,,,,,xる,,
一段,xる,x,xよ,x,,xれ,,xりゃ,,xん,,xよ,xろ,,,,,,
一段・クレル,xれる,xれ,xれよ,xれ,,xれれ,xれ,xれりゃ,xん,,,xれよ,xれろ,,,,,,
一段・得ル,xる,,,,,xれ,,,,,,,,,,,,,
下二・カ行,xく,xけ,,xけ,,xくれ,,,,,,xけよ,,,,,xくる,,
下二・ガ行,xぐ,xげ,,xげ,,xぐれ,,,,,,xげよ,,,,,xぐる,,
下二・ダ行,xづ,xで,,xで,,xづれ,,,,,,xでよ,,,,,xづる,,
下二・ハ行,xふ,xへ,,xへ,,xふれ,,,,,,xへよ,,,,,xふる,,
下二・マ行,xむ,xめ,,xめ,,xむれ,,,,,,xめよ,,,,,xむる,,
下二・得,x,x,xよ,x,,xれ,,,,,,xよ,,,,,xる,,
五段・ガ行,xぐ,xが,xご,xぎ,xい,xげ,xげ,xぎゃ,,,,,,,,,,,
五段・カ行イ音便,xく,xか,xこ,xき,xい,xけ,xけ,xきゃ,,,,,,,,,,,
五段・カ行促音便,xく,xか,xこ,xき,xっ,xけ,xけ,xきゃ,,,,,,,,,,,
五段・カ行促音便ユク,xく,xか,xこ,xき,,xけ,xけ,xきゃ,,,,,,,,,,,
五段・サ行,xす,xさ,xそ,xし,,xせ,xせ,xしゃ,,,,,,,,,,,
五段・タ行,xつ,xた,xと,xち,xっ,xて,xて,xちゃ,,,,,,,,,,,
五段・ナ行,xぬ,xな,xの,xに,xん,xね,xね,xにゃ,,,,,,,,,,,
五段・バ行,xぶ,xば,xぼ,xび,xん,xべ,xべ,xびゃ,,,,,,,,,,,
五段・マ行,xむ,xま,xも,xみ,xん,xめ,xめ,xみゃ,,,,,,,,,,,
五段・ラ行,xる,xら,xろ,xり,xっ,xれ,xれ,xりゃ,xん,xん,x,,,,,,,,
五段・ラ行特殊,xる,xら,xろ,xい,xっ,xれ,xれ,xりゃ,xん,,,,,,,xい,,,
五段・ワ行ウ音便,xう,xわ,xお,xい,xう,xえ,xえ,,,,,,,,,,,,
五段・ワ行促音便,xう,xわ,xお,xい,xっ,xえ,xえ,,,,,,,,,,,,
四段・サ行,xす,xさ,,xし,,xせ,xせ,,,,,,,,,,,,
四段・タ行,xつ,xた,,xち,,xて,xて,,,,,,,,,,,,
四段・ハ行,xふ,xは,,xひ,,xへ,xへ,,,,,,,,,,,,
四段・バ行,xぶ,xば,,xび,,xべ,xべ,,,,,,,,,,,,
上二・ダ行,xづ,xぢ,,xぢ,,xずれ,,,,,,xぢよ,,,,,xずる,,xず
上二・ハ行,xふ,xひ,,xひ,,xふれ,,,,,,xひよ,,,,,xふる,,
